Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17
-125.553,-25.697,-200.994,17.942,-177.601,71.917,40.209,11.595,-79.132,-4.61,190.706,-35.129,-154.999,32.11,-85.369,-201.9,104.814,-116.267
-127.22,-65.29,-198.513,23.966,-199.378,70.885,38.136,24.296,-83.633,-68.976,182.234,-69.84,-164.754,34.67,32.444,-177.511,74.312,-144.068
-115.186,-42.722,-200.104,133.202,-117.509,65.953,47.656,16.326,-83.747,-9.276,198.568,-33.18,-161.479,28.537,5.451,-187.146,91.642,-162.076
-108.475,-39.326,-200.367,37.8,-161.335,60.335,49.565,21.993,-84.611,4.704,196.315,-39.331,-152.642,23.431,1.682,-148.77,89.103,-138.895
-125.811,-60.468,-199.058,17.21,-151.741,47.822,29.307,6.09,-84.355,-67.464,217.879,-104.144,-164.382,18.431,-32.03,-229.118,106.155,-126.396
-152.454,-64.876,-201.148,78.182,-198.331,59.852,25.566,35.823,-89.177,-11.068,212.895,-28.881,-186.592,22.846,2.526,-186.152,83.476,-119.473
-139.844,-9.492,-199.893,48.516,-136.257,91.987,29.04,11.671,-79.073,-27.415,185.835,-62.276,-149.307,20.378,-93.255,-189.345,92.249,-151.724
-118.757,-59.506,-200.237,72.816,-153.215,81.983,47.177,6.922,-75.93,-42.613,200.915,-51.209,-167.428,30.904,-39.26,-180.131,95.758,-78.846
-128.028,27.522,-200.381,51.908,-128.105,65.024,67.698,29.211,-81.333,-33.783,199.656,-72.305,-174.206,46.993,-44.894,-216.379,96.281,-116.853
-125.962,-18.613,-198.172,78.644,-148.492,72.477,46.149,10.199,-88.958,-57.539,191.216,-104.39,-163.043,28.322,-42.384,-208.359,100.865,-118.926
-143.98,-14.348,-198.932,107.4,-147.452,80.626,47.04,10.996,-79.668,-30.322,209.012,-19.375,-163.961,27.265,-0.233,-172.075,97.802,-110.484
-120.754,-8.638,-198.138,72.879,-180.907,72.173,38.588,37.969,-81.122,-24.133,190.965,-67.721,-175.715,20.037,-60.874,-143.159,98.483,-159.918
-143.466,-6.526,-200.156,52.891,-144.952,89.931,32.833,19.417,-85.556,57.281,169.919,-43.346,-163.99,25.314,-49.512,-247.881,100.504,-118.946
-147.527,-1.114,-199.108,124.288,-169.48,70.526,35.553,13.815,-78.344,32.93,195.923,-123.558,-174.231,29.948,-8.638,-199.635,96.576,-172.946
-145.948,-87.963,-199.64,20.848,-165.771,63.966,36.797,7.829,-79.669,-17.777,195.889,-83.743,-167.417,30.901,13.156,-212.955,84.551,-140.411
-138.035,-1.998,-198.192,30.85,-189.843,59.297,35.326,25.47,-79.73,-30.677,186.306,-97.365,-157.072,27.33,-62.33,-175.511,91.326,-95.841
-127.109,-38.464,-200.415,47.966,-168.119,84.158,28.089,5.671,-86.672,-22.004,208.542,-159.965,-169.802,22.269,10.795,-174.77,85.466,-161.315
-135.75,-17.855,-198.487,1.131,-164.151,81.29,42.229,15.65,-85.08,-57.437,201.449,-155.524,-154.282,11.622,-22.515,-155.5,89.855,-146.804
-123.996,-21.126,-198.893,132.368,-160.438,81.62,30.59,19.942,-80.604,47.965,182.29,-157.868,-167.028,37.08,13.508,-179.802,96.252,-172.006
-161.384,-3.897,-199.685,99.338,-137.307,82.127,33.754,26.619,-82.113,70.856,187.132,-82.831,-149.314,27.845,-64.868,-216.109,90.273,-197.188
-141.661,-4.833,-198.203,46.961,-143.051,78.244,36.539,8.227,-84.204,16.506,183.144,-86.835,-157.34,26.406,-31.052,-218.506,92.837,-187.407
-153.824,-6.694,-199.843,100.12,-136.836,98.207,18.919,3.712,-85.864,-10.356,207.453,-36.251,-162.345,24.814,-28.395,-272.862,91.74,-90.448
-123.619,-54.255,-199.424,22.173,-140.976,62.251,50.191,19.392,-77.142,-39.549,214.593,-79.164,-153.739,34.592,-73.457,-156.913,90.514,-128.309
-139.156,-86.292,-199.764,79.427,-150.696,61.983,35.834,24.015,-87.448,31.599,210.24,-70.3,-165.701,27.932,-1.297,-202.717,96.445,-167.815
-128.135,-25.965,-198.629,53.651,-128.138,78.827,22.796,32.281,-86.039,-23.449,183.501,-67.431,-164.805,26.86,-84.928,-199.248,89.342,-122.695
-120.31,-47.302,-199.394,3.965,-147.724,67.4,67.791,34.474,-77.614,30.541,187.315,-84.709,-150.693,24.566,-24.633,-212.288,93.907,-105.49
-144.14,6.723,-199.949,99.479,-137.043,67.917,46.127,20.956,-80.502,-26.813,186.816,-86.969,-155.24,19.858,24.625,-190.952,95.764,-104.973
-127.831,-12.782,-196.833,46.976,-151.569,85.516,27.086,12.292,-83.945,57.752,192.277,-103.138,-173.303,29.246,3.913,-171.311,87.709,-136.708
-148.204,-47.147,-200.256,46.1,-170.985,63.216,44.318,8.686,-82.513,-17.318,187.654,-140.945,-165.507,27.349,-78.9,-233.065,95.037,-113.514
-118.898,16.151,-199.401,40.651,-194.407,105.239,51.553,2.266,-81.37,-40.742,205.663,-123.235,-171.912,35.272,-36.861,-211.099,87.409,-131.009
-130.455,-48.742,-198.905,63.8,-136.805,84.355,60.719,31.186,-80.807,-62.097,204.197,-107.704,-164.467,28.109,-22.98,-194.178,91.199,-126.252
-148.193,-23.376,-198.886,47.521,-169.33,71.745,45.199,26.973,-83.066,-9.519,178.207,-192.697,-163.721,33.33,-49.076,-166.567,92.12,-126.566
-143.638,-8.079,-199.767,123.94,-159.012,63.422,50.895,30.599,-83.412,1.06,174.519,-86.649,-168.849,30.943,-16.959,-162.344,103.973,-77.113
-133.89,-12.38,-199.345,80.978,-187.625,58.283,27.961,20.524,-82.083,-30.775,183.166,-149.005,-152.245,18.249,-35.731,-183.9,83.578,-141.62
-153.708,-32.297,-200.251,184.001,-161.713,63.101,55.089,20.004,-84.064,-73.881,196.861,-40.069,-148.392,37.143,-33.553,-174.826,85.106,-172.843
-136.167,-36.042,-199.34,76.701,-166.287,90.621,39.628,1.246,-87.211,-24.032,199.364,-194.792,-154.02,27.48,-26.624,-206.408,92.81,-116.802
-124.548,-36.341,-198.92,45.261,-125.973,87.992,57.754,18.922,-83.928,21.048,179.585,-160.836,-179.916,25.566,-78.767,-202.113,102.442,-165.435
-129.14,10.408,-198.844,-9.698,-166.648,53.458,19.7,33.199,-80.437,3.893,202.689,-98.498,-180.902,29.748,-13.239,-176.413,91.89,-112.954
-139.445,10.955,-200.711,58.42,-169.999,70.814,45.954,17.383,-83.9,-31.856,182.321,-96.19,-190.104,24.903,15.313,-214.892,91.901,-125.989
-130.708,-0.277,-198.606,91.854,-171.267,74.304,54.903,8.662,-89.002,-24.655,190.607,-78.811,-150.04,24.847,-8.714,-200.051,90.827,-148.722
-123.403,-56.069,-200.08,41.69,-175.048,70.596,40.18,27.717,-84.999,61.726,201.56,-98.462,-161.789,31.012,-29.103,-181.291,99.565,-102.334
-128.775,2.447,-200.029,55.915,-164.816,75.467,50.898,30.342,-88.072,3.707,182.281,-91.847,-168.869,29.556,-48.064,-194.135,89.728,-95.075
-151.362,-42.841,-198.758,23.208,-127.553,68.221,33.569,27.047,-81.201,19.004,197.577,-125.221,-177.424,28.806,7.316,-179.167,90.226,-148.434
-128.608,12.8,-200.054,1.525,-134.144,83.741,56.763,20.222,-95.69,-15.486,187.503,-77.266,-179.007,30.891,5.107,-215.317,94.01,-187.437
-139.779,-4.671,-200.767,1.643,-145.792,71.541,43.801,14.246,-82.396,33.668,186.671,-60.887,-177.801,20.965,-75.664,-209.627,86.767,-101.793
-152.679,-5.461,-199.388,41.062,-175.139,48.336,38.752,3.461,-86.7,-16.898,192.932,-43.383,-157.892,10.533,23.382,-188.219,101.257,-114.099
-111.694,-40.626,-199.554,84.708,-168.105,87.975,61.944,15.383,-81.508,-52.925,189.328,-75.001,-172.912,24.95,6.913,-192.431,93.637,-100.807
-151.277,-72.035,-199.155,106.293,-161.164,42.946,43.947,5.957,-91.002,20.468,204.967,-128.747,-151.06,26.886,-31.494,-198.552,105.155,-101.244
-148.765,-1.717,-201.572,73.108,-172.946,86.417,55.109,11.913,-75.345,-11.477,199.898,-150.953,-182.53,35.75,-64.801,-229.824,89.497,-117.594
-134.523,-48.92,-198.428,67.563,-159.74,82.07,33.369,30.219,-87.033,0.822,196.387,-119.442,-156.89,38.629,-21.037,-160.041,88.358,-161.881
-140.532,-2.044,-199.4,55.873,-162.441,61.954,57.246,27.442,-83.982,-2.377,201.894,-120.502,-157.972,15.659,-44.05,-213.412,92.757,-95.865
-115.854,14.228,-198.847,69.429,-141.105,87.887,30.764,36.486,-82.56,17.968,197.034,-64.559,-177.444,23.18,-23.439,-215.797,91.453,-162.561
-129.01,-18.842,-199.554,42.034,-157.776,54.409,43.956,-10.5,-84.474,21.971,197.119,-49.185,-187.332,21.938,-18.307,-190.049,92.888,-126.075
-133.752,26.786,-200.689,137.992,-193.553,93.495,49.886,4.097,-90.53,9.232,184.329,-117.319,-133.576,28.104,-95.779,-197.774,84.651,-144.513
-123.815,-48.503,-199.574,75.623,-139.64,59.28,54.035,12.47,-77.495,-1.021,207.755,-88.777,-166.083,34.937,-8.296,-190.944,92.109,-128.391
-143.524,-22.942,-197.719,100.788,-190.896,51.921,46.455,-5.326,-81.275,-12.022,192.701,-55.818,-159.03,19.925,-37.812,-234.459,90.302,-156.071
-114.074,-21.031,-199.66,44.586,-159.934,72.63,45.381,29.345,-86.623,3.755,203.107,-94.471,-175.291,27.407,-50.742,-203.389,98.171,-124.915
-107.707,-40.407,-199.501,86.544,-104.369,73.889,54.668,-4.888,-89.004,24.779,186.087,-107.453,-160.619,30.259,4.866,-198.365,88.546,-140.894
-137.265,-10.826,-198.397,52.372,-184.39,44.714,47.715,-5.948,-87.693,7.044,183.497,-138.485,-171.339,36.202,-49.256,-177.066,94.928,-158.77
-143.269,-43.571,-199.533,60.945,-167.071,80.362,40.286,16.321,-77.447,4.563,197.82,-91.975,-197.921,32.819,-66.317,-200.104,92.587,-182.089
-117.887,-30.819,-200.067,33.178,-144.549,79.989,41.013,34.403,-83.39,-5.506,194.315,-22.049,-167.328,30.058,-83.149,-177.343,98.123,-108.574
-129.768,51.832,-199.26,30.619,-138.407,96.113,39.944,17.136,-83.831,-5.588,205.729,-135.066,-156.217,24.338,-61.72,-233.709,92.962,-140.599
-120.872,-51.877,-199.085,19.043,-170.167,45.058,54.807,0.027,-85.42,17.399,173.248,-131.99,-177.553,27.359,-57.469,-209.527,96.715,-112.949
-146.978,-0.552,-199.182,11.982,-136.078,82.498,43.35,21.834,-82.058,-33.976,176.197,-161.936,-158.246,31.649,-29.095,-168.369,92.632,-114.857
-144.371,-19.616,-199.449,93.045,-135.632,80.893,42.46,9.159,-79.265,27.681,207.866,-112.575,-164.005,25.417,-58.197,-246.884,81.507,-124.563
-145.196,-1.112,-198.867,35.787,-151.063,62.096,49.452,24.823,-88.889,-13.933,192.742,-102.031,-149.672,28.919,-36.098,-198.707,94.435,-148.575
-95.466,20.141,-199.29,74.861,-121.307,106.375,47.796,6.449,-84.243,11.14,203.748,-128.934,-150.905,35.431,-19.175,-245.608,91.871,-141.727
-130.549,-64.084,-198.372,-14.663,-162.142,67.408,57.388,21.262,-89.413,30.865,193.102,-64.637,-163.034,20.199,-69.707,-191.101,88.631,-156.909
-122.126,1.442,-199.52,52.656,-156.485,104.376,49.935,16.561,-82.735,-22.089,197.203,-103.615,-164.976,24.994,-58.035,-244.739,101.523,-96.651
-126.839,6.823,-199.015,117.574,-155.415,105.423,48.833,17.39,-87.405,-90.396,193.894,-112.64,-162.515,23.216,-102.845,-197.564,94.539,-62.456
-142.719,-18.606,-200.035,41.465,-120.032,96.744,51.098,20.927,-91.97,14.965,188.986,-153.556,-158.121,27.308,-19.843,-209.208,98.803,-136.89
-125.673,-37.165,-198.078,43.284,-164.347,75.168,48.135,2.316,-85.018,-64.849,192.064,-87.212,-162.342,33.89,-5.569,-190.798,92.423,-126.317
-141.314,21.972,-199.291,9.13,-161.266,100.009,50.408,17.693,-76.056,1.395,188.77,-108.454,-147.226,42.3,-27.22,-212.079,89.999,-169.702
-131.752,-11.305,-199.399,31.344,-147.401,79.926,68.508,17.981,-90.325,-14.167,196.263,-132.251,-158.315,31.303,-31.748,-206.86,93.457,-102.29
-142.11,-24.769,-198.438,11.836,-158.134,66.651,48.966,29.81,-91.792,-14.052,176.579,-102.892,-152.881,24.727,-30.431,-186.257,92.807,-163.829
-138.538,39.148,-200.144,60.647,-159.219,106.624,40.899,3.673,-90.675,25.846,207.295,-118.78,-170.501,34.289,-51.6,-192.818,103.736,-125.087
-133.75,9.266,-199.377,73.564,-136.246,104.973,46.205,12.814,-92.288,-48.519,213.248,-79.91,-175.117,14.998,-16.697,-173.06,90.223,-130.954
-126.774,12.946,-197.657,39.539,-137.809,53.583,36.262,17.736,-76.913,-12.695,197.149,-109.001,-183.068,26.93,-24.139,-203.596,87.606,-120.562
-112.139,-56.35,-198.508,38.297,-147.691,61.166,40.94,23.826,-86.09,3.506,219.87,-69.933,-182.56,17.708,-22.808,-199.038,95.347,-174.691
-148.058,-16.2,-198.711,54.878,-158.229,82.103,35.204,4.227,-87.66,-39.717,180.079,-89.709,-157.831,12.885,-114.305,-231.87,88.555,-113.994
-134.803,-43.928,-200.444,79.861,-161.23,80.241,45.864,22.126,-90.525,-0.096,197.085,-88.921,-181.131,15.582,-125.921,-212.616,87.3,-106.666
-138.67,-15.568,-200.474,99.702,-146.101,79.318,45.167,1.513,-81.75,-53.465,204.97,-138.069,-158.443,27.211,-75.172,-223.726,87.208,-113.481
-149.236,-47.691,-199.81,108.383,-152.029,81.314,35.073,19.663,-86.153,-40.542,193.211,-105.846,-180.947,36.523,-35.039,-182.786,92.932,-131.615
-114.05,16.722,-199.599,62.947,-128.859,75.339,38.913,-24.021,-80.849,33.578,199.728,-79.589,-151.692,24.148,-26.642,-150.711,107.343,-120.107
-143.724,-53.427,-199.645,29.654,-197.659,51.937,24.489,-1.693,-80.1,-62.263,185.774,-39.005,-160.888,28.025,21.545,-191.811,88.732,-103.43
-132.647,-46.026,-198.469,100.92,-144.176,47.012,40.068,24.102,-84.469,-71.552,194.541,-75.723,-159.147,26.051,-65.148,-182.857,100.338,-144.072
-132.678,-23.615,-199.075,10.586,-167.337,72.019,23.063,7.706,-87.793,-46.621,203.705,-129.736,-178.959,38.388,-55.699,-204.756,92.014,-118.102
-136.489,-6.953,-198.93,38.743,-107.884,70.72,46.961,-2.568,-76.256,4.358,176.43,-111.501,-162.652,23.828,-24.804,-141.666,95.188,-110.561
-121.636,-27.486,-199.139,73.649,-104.984,98.359,49.796,29.068,-82.374,29.692,196.861,-67.541,-160.921,19.536,-45.957,-202.071,83.237,-141.255
-139.68,-17.622,-199.856,73.84,-141.979,77.516,34.66,12.414,-83.804,0.587,193.076,-45.339,-142.996,22.373,-42.023,-222.171,94.378,-116.426
-127.699,-64.561,-198.615,19.938,-160.478,71.138,39.922,17.361,-77.422,26.805,200.889,-66.167,-152.722,32.105,-57.724,-191.096,93.265,-120.278
-121.457,-3.744,-198.526,-25.995,-118.032,73.075,17.854,11.651,-81.234,7.807,191.825,-103.339,-165.489,25.92,-34.756,-224.822,97.028,-182.619
-143.844,-35.661,-198.452,-17.449,-129.822,75.703,45.606,8.38,-90.37,-38.33,188.167,-123.582,-168.621,17.465,-65.819,-227.289,83.924,-155.255
-137.829,-35.973,-198.864,27.968,-158.242,89.789,44.321,12.534,-84.684,40.943,203.875,-87.64,-169.773,27.854,-38.147,-223.458,95.264,-108.991
-129.76,-45.861,-199.908,58.963,-149.224,53.767,44.074,27.921,-93.826,44.445,207.863,-89.683,-159.776,30.602,-26.925,-223.826,87.745,-155.696
-114.606,-66.386,-201.084,67.999,-147.63,81.636,34.176,5.809,-83.23,17.632,216.912,-75.48,-151.131,15.658,-68.507,-151.234,92.558,-118.704
-134.669,-20.789,-199.094,89.345,-171.296,92.985,30.948,20.497,-83.29,-17.059,208.575,-135.001,-174.319,20.573,-23.032,-186.113,85.216,-128.659
-142.324,-58.787,-199.277,29.727,-178.76,65.947,31.999,31.728,-95.029,-30.605,207.748,-107.849,-170.148,24.167,-33.857,-238.0,98.688,-108.576
-123.038,-78.185,-199.097,37.149,-143.228,97.926,46.578,21.322,-80.836,46.018,189.601,-52.181,-162.25,26.804,-2.02,-247.682,95.897,-124.01
-146.25,-22.257,-198.631,71.035,-161.241,74.142,46.837,14.447,-80.502,37.004,209.035,-90.788,-184.071,19.589,-58.285,-232.118,98.324,-91.007
-141.238,-30.294,-199.51,65.33,-153.698,71.033,42.432,37.674,-86.632,29.153,200.461,-46.015,-184.226,27.014,-76.081,-145.359,89.56,-176.132
-126.816,-70.198,-198.594,66.722,-176.671,92.087,55.043,3.485,-85.483,23.53,174.201,1.897,-158.852,22.553,-50.88,-204.907,88.462,-112.515
-138.055,-9.538,-201.233,124.091,-161.871,59.533,48.178,17.285,-88.0,-22.179,191.452,-12.38,-163.439,32.219,-55.0,-222.894,82.896,-168.942
-150.782,-26.645,-200.786,34.07,-175.089,71.295,55.24,28.193,-80.184,30.885,195.046,-93.302,-165.875,26.873,-29.616,-242.954,91.074,-96.293
-124.082,-43.168,-198.254,22.542,-159.476,102.124,51.811,13.175,-83.93,-10.355,183.889,-156.589,-161.907,25.175,-17.064,-213.162,95.685,-101.167
-133.947,-27.648,-198.742,67.144,-153.277,59.66,42.635,7.39,-84.951,-69.399,196.174,-124.75,-178.808,21.757,-48.445,-218.602,81.19,-106.662
-153.165,12.426,-201.04,69.75,-145.425,78.682,54.151,24.822,-90.575,-12.303,207.083,-148.608,-176.444,25.064,-20.519,-176.972,89.153,-79.09
-133.448,3.336,-198.271,35.805,-124.328,66.976,32.276,26.354,-81.96,-12.972,189.533,-84.185,-170.629,28.876,-77.555,-199.265,83.948,-106.436
-136.926,-60.313,-199.617,0.344,-169.024,71.872,33.624,10.937,-83.811,47.672,211.926,-100.408,-178.305,33.473,-56.543,-192.257,93.448,-120.831
-131.549,-30.659,-199.712,96.28,-147.396,67.83,42.505,28.984,-75.748,-14.63,183.034,-136.635,-161.043,27.886,-53.311,-176.861,81.881,-110.597
-135.094,-17.25,-201.178,30.861,-119.7,74.539,54.929,55.242,-86.625,24.684,192.112,-60.464,-159.381,22.666,-36.014,-231.858,92.55,-102.022
-134.589,-46.939,-198.624,29.561,-124.423,59.204,59.168,0.541,-90.919,-20.084,188.512,-155.291,-178.697,21.581,-34.429,-162.632,90.26,-141.197
-133.33,3.119,-200.992,107.553,-129.204,71.442,23.991,9.529,-87.083,-20.269,190.868,-94.441,-173.778,28.599,-37.828,-249.925,84.573,-176.023
-149.882,-40.15,-198.799,41.68,-160.69,95.588,40.804,25.505,-86.906,7.913,188.001,-127.216,-174.109,22.861,-8.605,-196.959,84.778,-123.772
-116.468,-6.763,-198.069,77.923,-148.75,79.449,44.101,5.843,-90.104,14.544,200.401,-83.494,-163.163,19.85,-71.463,-159.752,85.252,-196.103
-123.03,34.907,-199.462,-12.209,-178.679,49.121,34.297,0.177,-84.231,-49.75,197.106,-116.043,-154.97,33.244,-72.773,-179.954,90.996,-119.953
-99.204,-41.34,-199.481,49.171,-169.395,72.999,42.822,5.028,-77.055,-56.636,212.604,-17.023,-134.824,24.094,-61.819,-181.429,100.994,-154.909
-131.527,-9.515,-198.058,62.088,-148.963,87.447,45.772,29.377,-95.539,15.149,208.723,-40.488,-179.261,24.864,-6.881,-230.145,85.976,-143.231
-144.157,-47.365,-199.809,93.845,-177.753,80.766,58.234,-0.496,-86.326,-58.457,197.369,-50.474,-164.158,37.352,-66.226,-162.342,79.176,-108.775
-114.537,3.454,-198.728,132.647,-149.67,74.756,32.909,1.972,-86.558,10.394,187.558,-86.638,-162.0,23.034,-55.213,-151.333,97.113,-114.65
-110.764,-4.787,-198.138,24.691,-144.836,56.036,57.924,20.289,-88.742,18.363,201.488,-75.751,-159.616,22.554,10.73,-179.435,84.803,-120.2
-123.73,-22.085,-198.994,135.247,-155.935,69.037,41.184,44.377,-94.892,0.549,207.799,-72.561,-165.538,21.092,-58.448,-231.062,91.22,-89.182
-141.527,7.96,-199.784,59.102,-148.467,58.586,36.499,17.503,-84.76,-0.177,198.29,-74.59,-151.448,23.023,-23.126,-197.643,89.976,-98.403
-129.651,-13.497,-199.124,27.16,-163.171,88.458,39.934,7.629,-83.976,6.155,197.398,-98.688,-167.244,33.783,-70.963,-150.182,103.483,-124.628
-129.112,3.935,-200.434,24.515,-150.197,80.335,37.311,4.327,-71.009,-42.387,202.183,-78.046,-174.257,31.046,-20.448,-217.459,86.528,-133.453
-156.998,-26.488,-199.737,99.57,-160.003,76.274,20.554,31.468,-94.058,3.183,192.308,-79.839,-165.96,25.725,-41.802,-206.708,87.14,-61.493
-116.486,-30.069,-197.804,45.577,-130.494,65.146,29.167,18.74,-79.162,28.97,195.09,-161.463,-159.964,29.885,33.415,-224.004,94.446,-121.261
-142.97,-88.124,-199.92,73.633,-141.348,46.798,54.061,5.875,-90.337,17.003,224.147,-86.126,-155.063,24.051,-29.3,-186.399,92.293,-135.496
-134.881,-14.119,-199.348,107.142,-174.049,71.849,32.318,24.194,-87.086,-54.883,197.557,-89.97,-183.14,36.876,-11.236,-228.113,95.842,-117.612
-130.863,-25.672,-199.025,68.687,-158.032,73.849,44.321,7.239,-83.328,-6.781,192.35,5.98,-186.081,26.969,-70.044,-207.175,91.063,-157.895
-164.341,-42.788,-198.615,81.159,-163.404,105.044,28.521,16.199,-84.35,-8.635,212.339,-78.498,-186.343,18.334,-16.704,-218.163,99.147,-78.203
-125.011,-23.912,-200.473,0.939,-108.818,78.298,58.447,16.096,-86.459,18.742,213.336,-125.233,-150.86,24.757,-41.223,-207.284,95.864,-65.192
-118.576,-18.392,-197.443,126.867,-174.249,82.372,58.571,0.101,-87.35,-10.315,197.779,-97.417,-168.34,35.818,-47.004,-213.369,92.648,-139.632
-142.874,-53.769,-199.511,13.354,-193.042,82.273,45.194,-2.576,-82.71,-17.427,200.342,-88.821,-167.116,24.232,39.354,-230.748,89.049,-127.192
-128.61,43.781,-200.365,48.519,-146.117,85.848,44.406,22.17,-90.936,-18.077,189.003,-167.98,-144.25,27.623,-90.112,-188.6,99.205,-147.303
-137.431,-9.125,-198.665,17.245,-161.179,67.084,38.609,31.049,-88.082,20.111,204.637,-64.104,-178.535,33.288,-3.891,-183.236,85.139,-122.845
-133.905,-58.216,-198.075,36.232,-155.578,92.128,37.108,37.461,-92.18,40.183,197.59,-28.979,-160.887,27.22,-37.851,-213.531,88.658,-128.603
-141.619,-5.828,-198.387,41.418,-147.429,90.372,54.446,23.155,-89.389,21.648,183.57,-49.55,-176.436,21.283,-18.548,-241.009,105.478,-122.111
-121.373,-19.993,-199.785,69.649,-158.429,89.117,47.738,18.997,-78.78,8.093,200.567,-119.576,-151.282,36.432,-38.717,-202.506,108.041,-120.441
-114.291,23.289,-199.923,120.399,-120.285,55.851,55.476,16.527,-79.165,-35.792,197.247,-93.158,-151.534,28.268,-61.82,-171.816,98.288,-132.87
-140.655,-11.995,-200.383,50.734,-159.502,78.666,42.642,15.359,-86.551,35.251,217.188,-10.804,-170.528,26.462,-66.867,-221.255,89.134,-76.302
-127.815,-30.371,-199.319,33.126,-173.364,61.203,38.937,19.041,-78.445,10.904,199.852,-93.054,-186.619,24.953,-39.368,-194.454,96.7,-100.087
-111.339,-77.21,-199.144,15.788,-172.265,77.508,41.129,26.968,-84.186,-13.0,190.649,-74.697,-183.208,21.319,34.493,-174.364,98.693,-100.578
-119.529,-45.599,-198.77,60.144,-128.008,80.304,45.327,15.272,-80.016,-8.056,207.185,-9.421,-177.156,24.607,7.298,-207.722,95.269,-111.665
-116.587,-59.288,-199.705,57.361,-146.605,89.743,38.07,17.866,-84.019,-73.514,191.177,-43.776,-175.152,14.315,8.279,-248.3,85.587,-121.545
-118.058,-18.392,-200.165,68.566,-169.559,53.627,42.213,29.51,-76.89,31.456,196.896,-65.007,-177.609,25.279,-18.365,-252.251,94.568,-108.462
-117.394,-0.673,-199.752,28.299,-165.335,64.62,52.674,27.795,-91.204,-16.174,183.944,-21.562,-171.358,25.129,-17.475,-175.122,80.595,-101.141
-125.53,-11.692,-199.767,16.253,-142.861,86.851,39.276,16.316,-83.451,-6.623,197.116,-53.824,-156.357,39.763,22.113,-211.808,100.384,-46.493
-123.667,-33.781,-199.753,32.922,-145.38,58.122,38.374,34.078,-89.621,-14.588,200.451,-101.797,-173.05,26.956,-54.306,-215.037,83.585,-3.677
-122.099,-24.825,-199.14,73.968,-153.609,102.762,44.562,3.914,-79.675,14.852,208.828,-62.72,-165.886,23.425,-61.034,-195.789,94.352,0.604
